,Other,"Cause-Effect(e1,e2)","Cause-Effect(e2,e1)","Instrument-Agency(e1,e2)","Instrument-Agency(e2,e1)","Product-Producer(e1,e2)","Product-Producer(e2,e1)","Content-Container(e1,e2)","Content-Container(e2,e1)","Entity-Origin(e1,e2)","Entity-Origin(e2,e1)","Entity-Destination(e1,e2)","Entity-Destination(e2,e1)","Component-Whole(e1,e2)","Component-Whole(e2,e1)","Member-Collection(e1,e2)","Member-Collection(e2,e1)","Message-Topic(e1,e2)","Message-Topic(e2,e1)"
Other,128,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2
"Cause-Effect(e1,e2)",0,184,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,6
"Cause-Effect(e2,e1)",1,0,137,2,0,1,0,0,0,0,1,1,5,1,1,0,0,0,12
"Instrument-Agency(e1,e2)",0,0,2,126,0,4,0,0,0,0,0,3,0,4,4,0,0,2,5
"Instrument-Agency(e2,e1)",0,0,4,0,137,0,6,0,0,0,0,0,0,0,0,0,0,0,6
"Product-Producer(e1,e2)",0,0,0,2,0,34,0,0,0,1,0,0,0,1,0,0,0,0,1
"Product-Producer(e2,e1)",0,0,1,0,5,0,276,0,0,0,0,0,0,0,0,0,0,0,9
"Content-Container(e1,e2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Content-Container(e2,e1)",0,8,1,2,0,0,2,0,180,0,0,0,0,0,0,0,4,0,14
"Entity-Origin(e1,e2)",3,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,1,5
"Entity-Origin(e2,e1)",0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,4
"Entity-Destination(e1,e2)",0,0,0,4,0,0,1,0,0,0,0,105,0,0,1,0,0,4,19
"Entity-Destination(e2,e1)",0,0,2,0,0,0,1,0,1,0,0,0,21,1,0,0,0,0,6
"Component-Whole(e1,e2)",0,0,0,2,0,0,0,0,0,0,1,0,0,182,1,0,0,0,15
"Component-Whole(e2,e1)",0,0,0,2,0,0,0,0,0,0,0,0,0,1,201,0,0,0,6
"Member-Collection(e1,e2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,3
"Member-Collection(e2,e1)",0,4,0,0,0,0,0,0,4,0,1,0,0,0,1,0,93,1,4
"Message-Topic(e1,e2)",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,115,6
"Message-Topic(e2,e1)",8,9,18,16,10,2,15,0,17,3,4,10,5,26,31,6,13,15,246
