,Other,"Cause-Effect(e1,e2)","Cause-Effect(e2,e1)","Instrument-Agency(e1,e2)","Instrument-Agency(e2,e1)","Product-Producer(e1,e2)","Product-Producer(e2,e1)","Content-Container(e1,e2)","Content-Container(e2,e1)","Entity-Origin(e1,e2)","Entity-Origin(e2,e1)","Entity-Destination(e1,e2)","Entity-Destination(e2,e1)","Component-Whole(e1,e2)","Component-Whole(e2,e1)","Member-Collection(e1,e2)","Member-Collection(e2,e1)","Message-Topic(e1,e2)","Message-Topic(e2,e1)"
Other,0,76,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,50
"Cause-Effect(e1,e2)",0,182,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6
"Cause-Effect(e2,e1)",0,0,136,3,1,0,1,0,0,0,2,1,1,2,1,1,0,1,12
"Instrument-Agency(e1,e2)",0,0,2,121,0,3,0,0,0,0,0,6,0,4,3,0,0,1,10
"Instrument-Agency(e2,e1)",0,0,2,0,140,0,5,0,0,0,1,0,0,0,0,0,0,0,5
"Product-Producer(e1,e2)",0,0,0,2,0,33,0,0,0,1,0,0,0,1,0,0,0,0,2
"Product-Producer(e2,e1)",0,0,1,0,5,0,276,0,0,0,0,0,0,0,0,0,0,0,9
"Content-Container(e1,e2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Content-Container(e2,e1)",0,3,0,0,0,0,2,0,192,0,0,0,0,0,0,0,5,0,9
"Entity-Origin(e1,e2)",0,0,0,0,0,0,0,0,0,40,0,1,0,0,0,0,0,2,4
"Entity-Origin(e2,e1)",0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,6
"Entity-Destination(e1,e2)",0,0,0,2,0,0,0,0,0,0,0,115,0,0,1,0,0,2,14
"Entity-Destination(e2,e1)",0,0,0,0,0,0,1,0,1,0,0,0,23,1,0,1,0,0,5
"Component-Whole(e1,e2)",0,0,0,1,0,0,0,0,0,0,0,0,1,184,1,0,0,1,13
"Component-Whole(e2,e1)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,205,0,0,0,4
"Member-Collection(e1,e2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,1
"Member-Collection(e2,e1)",0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,94,1,4
"Message-Topic(e1,e2)",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,117,4
"Message-Topic(e2,e1)",0,7,16,11,12,2,13,0,22,2,3,15,10,22,28,9,12,15,255
