,Other,"Cause-Effect(e1,e2)","Cause-Effect(e2,e1)","Instrument-Agency(e1,e2)","Instrument-Agency(e2,e1)","Product-Producer(e1,e2)","Product-Producer(e2,e1)","Content-Container(e1,e2)","Content-Container(e2,e1)","Entity-Origin(e1,e2)","Entity-Origin(e2,e1)","Entity-Destination(e1,e2)","Entity-Destination(e2,e1)","Component-Whole(e1,e2)","Component-Whole(e2,e1)","Member-Collection(e1,e2)","Member-Collection(e2,e1)","Message-Topic(e1,e2)","Message-Topic(e2,e1)"
Other,126,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5
"Cause-Effect(e1,e2)",0,181,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,7
"Cause-Effect(e2,e1)",0,0,137,6,1,0,0,0,0,0,1,0,2,2,1,0,0,0,12
"Instrument-Agency(e1,e2)",0,0,2,124,0,1,0,0,0,0,0,8,0,5,3,0,0,1,6
"Instrument-Agency(e2,e1)",0,0,3,0,140,0,5,0,0,0,0,0,0,0,0,0,0,0,5
"Product-Producer(e1,e2)",0,0,0,4,0,31,0,0,0,1,0,0,0,1,0,0,0,0,2
"Product-Producer(e2,e1)",0,0,2,0,3,0,274,0,0,0,0,0,0,0,0,0,0,0,12
"Content-Container(e1,e2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Content-Container(e2,e1)",0,6,0,1,0,0,3,0,187,0,0,0,0,0,0,0,5,0,9
"Entity-Origin(e1,e2)",2,0,0,0,0,0,0,0,1,41,0,1,0,0,0,0,0,0,2
"Entity-Origin(e2,e1)",0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,7
"Entity-Destination(e1,e2)",1,0,0,4,0,0,3,0,0,0,0,110,0,0,0,0,0,4,12
"Entity-Destination(e2,e1)",0,0,1,0,0,0,1,0,2,0,0,0,17,1,0,1,0,0,9
"Component-Whole(e1,e2)",0,0,0,1,0,0,0,0,0,0,0,0,0,183,2,0,0,0,15
"Component-Whole(e2,e1)",0,0,0,2,0,0,0,0,0,0,0,0,0,2,198,0,0,0,8
"Member-Collection(e1,e2)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,0,0,2
"Member-Collection(e2,e1)",0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,96,1,4
"Message-Topic(e1,e2)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,115,7
"Message-Topic(e2,e1)",8,7,16,15,14,1,17,0,17,4,0,20,7,24,26,10,10,14,244
