,Other,"Cause-Effect(e1,e2)","Cause-Effect(e2,e1)","Instrument-Agency(e1,e2)","Instrument-Agency(e2,e1)","Product-Producer(e1,e2)","Product-Producer(e2,e1)","Content-Container(e1,e2)","Content-Container(e2,e1)","Entity-Origin(e1,e2)","Entity-Origin(e2,e1)","Entity-Destination(e1,e2)","Entity-Destination(e2,e1)","Component-Whole(e1,e2)","Component-Whole(e2,e1)","Member-Collection(e1,e2)","Member-Collection(e2,e1)","Message-Topic(e1,e2)","Message-Topic(e2,e1)"
Other,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cause-Effect(e1,e2)",0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cause-Effect(e2,e1)",0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Instrument-Agency(e1,e2)",0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Instrument-Agency(e2,e1)",0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Product-Producer(e1,e2)",0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Product-Producer(e2,e1)",0,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Content-Container(e1,e2)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Content-Container(e2,e1)",0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Entity-Origin(e1,e2)",0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Entity-Origin(e2,e1)",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Entity-Destination(e1,e2)",0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Entity-Destination(e2,e1)",0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Component-Whole(e1,e2)",0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Component-Whole(e2,e1)",0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Member-Collection(e1,e2)",0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Member-Collection(e2,e1)",0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Message-Topic(e1,e2)",0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Message-Topic(e2,e1)",0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
