,Other,"Cause-Effect(e1,e2)","Cause-Effect(e2,e1)","Instrument-Agency(e1,e2)","Instrument-Agency(e2,e1)","Product-Producer(e1,e2)","Product-Producer(e2,e1)","Content-Container(e1,e2)","Content-Container(e2,e1)","Entity-Origin(e1,e2)","Entity-Origin(e2,e1)","Entity-Destination(e1,e2)","Entity-Destination(e2,e1)","Component-Whole(e1,e2)","Component-Whole(e2,e1)","Member-Collection(e1,e2)","Member-Collection(e2,e1)","Message-Topic(e1,e2)","Message-Topic(e2,e1)"
Other,127,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2
"Cause-Effect(e1,e2)",2,185,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,3
"Cause-Effect(e2,e1)",1,0,137,4,1,0,0,0,0,0,3,0,3,1,0,0,0,0,12
"Instrument-Agency(e1,e2)",0,0,1,130,0,2,0,0,0,0,0,4,0,4,2,0,0,1,6
"Instrument-Agency(e2,e1)",0,0,3,0,142,0,4,0,0,0,1,0,0,0,0,0,0,0,3
"Product-Producer(e1,e2)",0,0,0,2,0,34,0,0,0,1,0,0,0,1,0,0,0,0,1
"Product-Producer(e2,e1)",0,0,3,0,8,0,273,0,0,0,0,0,0,0,0,0,0,0,7
"Content-Container(e1,e2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Content-Container(e2,e1)",0,9,0,1,0,0,1,0,179,0,0,0,0,0,0,0,6,0,15
"Entity-Origin(e1,e2)",0,0,0,0,0,0,0,0,0,42,0,1,0,0,0,0,0,0,4
"Entity-Origin(e2,e1)",0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,0,3
"Entity-Destination(e1,e2)",0,0,0,4,0,0,1,0,0,0,0,103,0,0,0,0,0,3,23
"Entity-Destination(e2,e1)",0,0,0,0,0,0,1,0,1,0,0,0,24,0,0,1,0,0,5
"Component-Whole(e1,e2)",0,0,1,3,0,0,0,0,0,0,1,0,1,180,0,0,0,1,14
"Component-Whole(e2,e1)",0,0,0,2,0,0,0,0,0,0,0,0,0,1,197,0,0,0,10
"Member-Collection(e1,e2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0
"Member-Collection(e2,e1)",0,4,0,0,0,0,0,0,3,0,1,0,0,0,0,0,95,1,4
"Message-Topic(e1,e2)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,116,6
"Message-Topic(e2,e1)",10,7,16,11,13,1,14,0,17,2,3,8,4,23,19,7,11,14,274
